token,count_pos,count_neg,count_total,log_odds_food
口感,420,0,420,2.571750001909554
奶油,267,0,267,2.1171776252886003
豬,250,0,250,2.05131894268297
海鮮,194,0,194,1.7977969005117593
口味,548,2,550,1.739825205559809
部分,173,0,173,1.6834521873094959
香氣,169,0,169,1.6601190663992673
蛋糕,628,3,631,1.5890962522790693
牛肉,462,2,464,1.5678037477300792
普通,137,0,137,1.4509644538023583
牛排,134,0,134,1.428928391706675
草莓,130,0,130,1.3987747343814227
水果,127,0,127,1.3755505273443518
餅,126,0,126,1.3676883013572043
戚風,117,0,117,1.2940144189553058
布丁,107,0,107,1.2052705889502748
入口,106,0,106,1.1959491550160042
上菜,105,0,105,1.1865403737567712
味道,603,5,608,1.1413580641316967
醬,197,1,198,1.11935808002979
皮,96,0,96,1.0976409062765997
乳酪,95,0,95,1.0872590819565309
處,95,0,95,1.0872590819565309
焦糖,95,0,95,1.0872590819565309
甜點,378,3,381,1.077704660316316
鹽,93,0,93,1.0661675992768744
氛圍,92,0,92,1.0554532739627964
特色,91,0,91,1.0446233220236207
沙拉,88,0,88,1.0114140093759225
油,88,0,88,1.0114140093759225
辣椒,85,0,85,0.9770678338273244
伯爵,84,0,84,0.9653527607653762
巧克力,161,1,162,0.9180009511342595
味,79,0,79,0.9046329778887756
肉質,154,1,155,0.8736963143539027
咖啡,153,1,154,0.867204741520271
飲品,76,0,76,0.8663546727788765
整體,382,4,386,0.8645189823675103
品質,148,1,149,0.8341031588599517
蛤蜊,73,0,73,0.8265572550990044
外皮,73,0,73,0.8265572550990044
菜單,72,0,72,0.8129325740906737
調味,69,0,69,0.7709112903064952
燒肉,69,0,69,0.7709112903064952
風,68,0,68,0.756503525350138
湯頭,67,0,67,0.7418856987867661
醬汁,65,0,65,0.7119946824387089
蒜,65,0,65,0.7119946824387089
豆腐,130,1,131,0.7050112209822448
檸檬,64,0,64,0.6967081842517366
烤肉,63,0,63,0.6811849720215699
食物,124,1,125,0.6580133428379993
多汁,61,0,61,0.6493982234044857
肉品,121,1,122,0.6336635090444025
香味,60,0,60,0.633118677924374
血,60,0,60,0.633118677924374
松阪,59,0,59,0.6165703517267609
機會,59,0,59,0.6165703517267609
內餡,59,0,59,0.6165703517267609
新竹,358,5,363,0.6164076738317137
蝦子,57,0,57,0.5826307526440058
主餐,57,0,57,0.5826307526440058
位子,56,0,56,0.5652199867714378
芋頭,56,0,56,0.5652199867714378
泡菜,55,0,55,0.5475013868732113
金沙,55,0,55,0.5475013868732113
芋泥,54,0,54,0.5294638589335685
地方,108,1,109,0.5207427722905562
鴨肉,53,0,53,0.5110956981902532
鐵,52,0,52,0.492384543464814
大利,52,0,52,0.492384543464814
蘋果,52,0,52,0.492384543464814
生菜,51,0,51,0.4733173271426523
建議,205,3,208,0.4647388358889719
牛舌,50,0,50,0.45388022029588804
五花,50,0,50,0.45388022029588804
日式,49,0,49,0.4340585723718364
彈,49,0,49,0.4340585723718364
南瓜,49,0,49,0.4340585723718364
甜度,49,0,49,0.4340585723718364
起司,48,0,48,0.41383684478822325
司康,48,0,48,0.41383684478822325
牛奶,48,0,48,0.41383684478822325
座位,145,2,147,0.4076244862175269
青菜,47,0,47,0.3931985376811573
明太子,47,0,47,0.3931985376811573
小,46,0,46,0.37212610894074416
烤鴨,46,0,46,0.37212610894074416
玉米,46,0,46,0.37212610894074416
風格,45,0,45,0.35060088453893634
鮭魚,45,0,45,0.35060088453893634
葡萄,45,0,45,0.35060088453893634
肋,45,0,45,0.35060088453893634
原味,45,0,45,0.35060088453893634
份量,315,6,321,0.3332362047304471
排隊,44,0,44,0.32860295900103864
熟度,44,0,44,0.32860295900103864
肉,577,12,589,0.3193324588933777
肉桂,43,0,43,0.3061110846915662
廁所,42,0,42,0.2831025483711489
腥味,42,0,42,0.2831025483711489
酸菜,42,0,42,0.2831025483711489
美味,213,4,217,0.27923028432302033
湯,595,13,608,0.27561626100990466
奶茶,41,0,41,0.2595530332269176
烤網,41,0,41,0.2595530332269176
化,41,0,41,0.2595530332269176
水準,81,1,82,0.23560014041736732
沙茶,81,1,82,0.23560014041736732
紅豆,40,0,40,0.23543646427548648
泰式,40,0,40,0.23543646427548648
主廚,39,0,39,0.21072483467439884
煙,39,0,39,0.21072483467439884
馬,39,0,39,0.21072483467439884
甜味,39,0,39,0.21072483467439884
滋味,39,0,39,0.21072483467439884
河粉,39,0,39,0.21072483467439884
空間,117,2,119,0.19416908450828085
牛,195,4,199,0.19102554813914718
蔥,77,1,78,0.1855135946166726
前菜,38,0,38,0.18538801004103167
情,38,0,38,0.18538801004103167
客家,38,0,38,0.18538801004103167
羊肉,37,0,37,0.15939350735032054
辣,37,0,37,0.15939350735032054
路,37,0,37,0.15939350735032054
胃,37,0,37,0.15939350735032054
香草,37,0,37,0.15939350735032054
不油,37,0,37,0.15939350735032054
風味,74,1,75,0.14623579134662634
速度,111,2,113,0.1418690673878631
蔬菜,111,2,113,0.1418690673878631
臭豆腐,36,0,36,0.13270624434232037
印象,71,1,72,0.10535670996870206
小店,35,0,35,0.10528825458996671
湯品,35,0,35,0.10528825458996671
酒,35,0,35,0.10528825458996671
午餐,35,0,35,0.10528825458996671
香料,35,0,35,0.10528825458996671
茶,286,7,293,0.10227194949955276
白菜,34,0,34,0.07709836242061474
胡椒,34,0,34,0.07709836242061474
瓜,34,0,34,0.07709836242061474
經典,34,0,34,0.07709836242061474
吐司,33,0,33,0.04809181070627844
日本,33,0,33,0.04809181070627844
新鮮,198,5,203,0.02333352265781663
話,131,3,134,0.018253883336207366
藍莓,32,0,32,0.018219833077070646
肉店,32,0,32,0.018219833077070646
主打,32,0,32,0.018219833077070646
蜂蜜,32,0,32,0.018219833077070646
部份,32,0,32,0.018219833077070646
娘,161,4,165,-0.00014106173761874174
炸物,31,0,31,-0.01257083970766626
仙草,31,0,31,-0.01257083970766626
檸檬塔,31,0,31,-0.01257083970766626
好友,31,0,31,-0.01257083970766626
地瓜,31,0,31,-0.01257083970766626
重點,63,1,64,-0.012578541377608055
食材,253,7,260,-0.02050631757314747
值,124,3,127,-0.036367644170875124
米粉,30,0,30,-0.04433855177869983
薯條,30,0,30,-0.04433855177869983
海鹽,30,0,30,-0.04433855177869983
用料,30,0,30,-0.04433855177869983
甜品,30,0,30,-0.04433855177869983
鮮,91,2,93,-0.05522201242340419
套餐,213,6,219,-0.05847804639872134
店,780,25,805,-0.07700775039884178
傳統,29,0,29,-0.07714738799662779
蒸蛋,29,0,29,-0.07714738799662779
絲,29,0,29,-0.07714738799662779
布朗,29,0,29,-0.07714738799662779
美式,29,0,29,-0.07714738799662779
韓式,29,0,29,-0.07714738799662779
程度,29,0,29,-0.07714738799662779
酸,59,1,60,-0.07719316167241708
雞,329,10,339,-0.07760758340100438
蝦,208,6,214,-0.08221520472613708
朋友,208,6,214,-0.08221520472613708
排骨,88,2,90,-0.0884313250711024
人,1093,36,1129,-0.09366005644102415
冰,58,1,59,-0.09401930387328594
菜色,146,4,150,-0.0975906851134063
飯,408,13,421,-0.10449695590900188
殼,28,0,28,-0.11106795270574388
主食,28,0,28,-0.11106795270574388
新竹市,57,1,58,-0.1111327607551722
香,56,1,57,-0.12854352662774016
終於,27,0,27,-0.14617828518896125
蛤蠣,27,0,27,-0.14617828518896125
酥皮,27,0,27,-0.14617828518896125
法式,27,0,27,-0.14617828518896125
無菜,27,0,27,-0.14617828518896125
頂級,27,0,27,-0.14617828518896125
道菜,27,0,27,-0.14617828518896125
水,55,1,56,-0.1462621265259667
餐點,475,16,491,-0.14753140887693394
店家,361,12,373,-0.15273870516706012
小菜,110,3,113,-0.15541781127827292
魚,136,4,140,-0.16823288395305358
香菜,26,0,26,-0.18256494167030723
油脂,26,0,26,-0.18256494167030723
腸,26,0,26,-0.18256494167030723
芋圓,26,0,26,-0.18256494167030723
小心,26,0,26,-0.18256494167030723
時段,26,0,26,-0.18256494167030723
鮮蝦,26,0,26,-0.18256494167030723
老店,26,0,26,-0.18256494167030723
上桌,53,1,54,-0.18266781520892472
氣氛,134,4,138,-0.18297713456438114
勁,52,1,53,-0.201378969934364
配菜,105,3,108,-0.20160412665128113
環境,316,11,327,-0.20567855487053865
蛋塔,25,0,25,-0.22032428160216444
柴,25,0,25,-0.22032428160216444
茶香,25,0,25,-0.22032428160216444
城隍,25,0,25,-0.22032428160216444
烤,25,0,25,-0.22032428160216444
花生,25,0,25,-0.22032428160216444
龍蝦,25,0,25,-0.22032428160216444
芝麻,25,0,25,-0.22032428160216444
厚度,25,0,25,-0.22032428160216444
飲料,180,6,186,-0.22658647083167338
豬肉,76,2,78,-0.23349066166814847
車場,76,2,78,-0.23349066166814847
聚餐,153,5,158,-0.23387668420475993
手工,50,1,51,-0.23988329310328993
鍋,177,6,183,-0.24335715404394342
油花,24,0,24,-0.2595640063430098
優格,24,0,24,-0.2595640063430098
人潮,24,0,24,-0.2595640063430098
芥末,24,0,24,-0.2595640063430098
薏仁,24,0,24,-0.2595640063430098
口,24,0,24,-0.2595640063430098
巷子,24,0,24,-0.2595640063430098
小酌,24,0,24,-0.2595640063430098
蛋,123,4,127,-0.26817988916878743
芒果,48,1,49,-0.2799266686109547
氣,72,2,74,-0.28691276035635127
東西,145,5,150,-0.28737511845965713
醬料,96,3,99,-0.29050359413145266
用心,96,3,99,-0.29050359413145266
球,23,0,23,-0.30040501208939396
貴,23,0,23,-0.30040501208939396
北區,23,0,23,-0.30040501208939396
體,23,0,23,-0.30040501208939396
上海,23,0,23,-0.30040501208939396
造型,23,0,23,-0.30040501208939396
費,47,1,48,-0.30056497571802065
頭,161,6,167,-0.3378493924593604
魚片,22,0,22,-0.3429836373728996
油膩,22,0,22,-0.3429836373728996
生日蛋糕,22,0,22,-0.3429836373728996
玫瑰,22,0,22,-0.3429836373728996
味蕾,22,0,22,-0.3429836373728996
肥肉,22,0,22,-0.3429836373728996
癮,22,0,22,-0.3429836373728996
柚子,22,0,22,-0.3429836373728996
桌面,22,0,22,-0.3429836373728996
友人,22,0,22,-0.3429836373728996
泥,22,0,22,-0.3429836373728996
順口,22,0,22,-0.3429836373728996
巨城,45,1,46,-0.3431626288602416
配料,45,1,46,-0.3431626288602416
價錢,45,1,46,-0.3431626288602416
雞肉,88,3,91,-0.37673049103212986
胡麻,21,0,21,-0.3874544104470372
煎餅,21,0,21,-0.3874544104470372
現金,21,0,21,-0.3874544104470372
外層,21,0,21,-0.3874544104470372
沙,21,0,21,-0.3874544104470372
溫度,21,0,21,-0.3874544104470372
花椰菜,21,0,21,-0.3874544104470372
條,21,0,21,-0.3874544104470372
卵,21,0,21,-0.3874544104470372
中式,21,0,21,-0.3874544104470372
公司,21,0,21,-0.3874544104470372
辣度,21,0,21,-0.3874544104470372
飲,21,0,21,-0.3874544104470372
評論,65,2,67,-0.38785065200831603
於,194,8,202,-0.404369008682294
龍,42,1,43,-0.41066096502802907
手,63,2,65,-0.418660362425455
珍珠,20,0,20,-0.4339934362238411
茶味,20,0,20,-0.4339934362238411
吧台,20,0,20,-0.4339934362238411
炸豬,20,0,20,-0.4339934362238411
香腸,20,0,20,-0.4339934362238411
糖,20,0,20,-0.4339934362238411
有點,20,0,20,-0.4339934362238411
下午茶,20,0,20,-0.4339934362238411
栗子,20,0,20,-0.4339934362238411
雷,41,1,42,-0.4342104801722604
干貝,61,2,63,-0.4504471110425392
店面,61,2,63,-0.4504471110425392
價位,164,7,171,-0.4535930821190792
餐廳,226,10,236,-0.45371787883354653
線,40,1,41,-0.4583270491236915
原本,60,2,62,-0.4667266565226509
裝潢,80,3,83,-0.4710699710331223
心,80,3,83,-0.4710699710331223
肚子,19,0,19,-0.4828026101738061
大,19,0,19,-0.4828026101738061
豆花,19,0,19,-0.4828026101738061
火候,19,0,19,-0.4828026101738061
肉汁,19,0,19,-0.4828026101738061
餅皮,19,0,19,-0.4828026101738061
香酥,19,0,19,-0.4828026101738061
筍,19,0,19,-0.4828026101738061
鮑,19,0,19,-0.4828026101738061
內容,19,0,19,-0.4828026101738061
魚子,19,0,19,-0.4828026101738061
濃湯,19,0,19,-0.4828026101738061
培根,19,0,19,-0.4828026101738061
蠔,19,0,19,-0.4828026101738061
天使,19,0,19,-0.4828026101738061
米蘇,19,0,19,-0.4828026101738061
階段,19,0,19,-0.4828026101738061
老宅,19,0,19,-0.4828026101738061
外酥,19,0,19,-0.4828026101738061
聊天,59,2,61,-0.48327498272026403
品項,79,3,82,-0.48351152251927676
奶,18,0,18,-0.5341149139805248
冰棒,18,0,18,-0.5341149139805248
真材,18,0,18,-0.5341149139805248
螃蟹,18,0,18,-0.5341149139805248
苦味,18,0,18,-0.5341149139805248
實料,18,0,18,-0.5341149139805248
義式,18,0,18,-0.5341149139805248
天氣,18,0,18,-0.5341149139805248
瘦肉,18,0,18,-0.5341149139805248
荔枝,18,0,18,-0.5341149139805248
筋,18,0,18,-0.5341149139805248
越南,18,0,18,-0.5341149139805248
叉,18,0,18,-0.5341149139805248
冬粉,18,0,18,-0.5341149139805248
甜,18,0,18,-0.5341149139805248
果汁,18,0,18,-0.5341149139805248
車,18,0,18,-0.5341149139805248
粒粒,18,0,18,-0.5341149139805248
學生,18,0,18,-0.5341149139805248
港式,18,0,18,-0.5341149139805248
缺點,37,1,38,-0.5343700060488574
方式,56,2,58,-0.5346253476755871
啤酒,36,1,37,-0.5610572690568576
時候,110,5,115,-0.5621182499944295
菜,256,13,269,-0.5720427834824919
感覺,219,11,230,-0.5728054659733424
鮮甜,17,0,17,-0.5882011443086164
質感,17,0,17,-0.5882011443086164
黑糖,17,0,17,-0.5882011443086164
個人,17,0,17,-0.5882011443086164
燴飯,17,0,17,-0.5882011443086164
手作,17,0,17,-0.5882011443086164
雞湯,17,0,17,-0.5882011443086164
雞皮,17,0,17,-0.5882011443086164
泡芙,17,0,17,-0.5882011443086164
服務生,17,0,17,-0.5882011443086164
洋蔥,17,0,17,-0.5882011443086164
蘇,17,0,17,-0.5882011443086164
腸粉,17,0,17,-0.5882011443086164
奶酪,17,0,17,-0.5882011443086164
小塊,17,0,17,-0.5882011443086164
口袋,17,0,17,-0.5882011443086164
市場,35,1,36,-0.5884752588092113
音樂,34,1,35,-0.6166651509785632
時,34,1,35,-0.6166651509785632
炸,34,1,35,-0.6166651509785632
價,34,1,35,-0.6166651509785632
樓,85,4,89,-0.6348376924437318
價格,291,16,307,-0.6397176022657209
生魚,16,0,16,-0.6453785668450447
薯泥,16,0,16,-0.6453785668450447
細節,16,0,16,-0.6453785668450447
樣子,16,0,16,-0.6453785668450447
濕潤,16,0,16,-0.6453785668450447
燒,16,0,16,-0.6453785668450447
收服,16,0,16,-0.6453785668450447
單價,16,0,16,-0.6453785668450447
肉絲,16,0,16,-0.6453785668450447
梅子,16,0,16,-0.6453785668450447
餐館,16,0,16,-0.6453785668450447
壽司,16,0,16,-0.6453785668450447
蒸餃,16,0,16,-0.6453785668450447
烤店,16,0,16,-0.6453785668450447
燈光,16,0,16,-0.6453785668450447
名單,16,0,16,-0.6453785668450447
國,16,0,16,-0.6453785668450447
辣味,16,0,16,-0.6453785668450447
奶香,16,0,16,-0.6453785668450447
醬油,16,0,16,-0.6453785668450447
南洋,16,0,16,-0.6453785668450447
桌子,16,0,16,-0.6453785668450447
距離,16,0,16,-0.6453785668450447
黃,16,0,16,-0.6453785668450447
廚師,16,0,16,-0.6453785668450447
季節,16,0,16,-0.6453785668450447
餛飩,16,0,16,-0.6453785668450447
醋,33,1,34,-0.6456717026928995
外帶,84,4,88,-0.64655276550568
回家,32,1,33,-0.6755436803221073
機車,32,1,33,-0.6755436803221073
大家,130,7,137,-0.6849891357319633
星,64,3,67,-0.6914363161563157
裝飾,15,0,15,-0.7060221969966349
核桃,15,0,15,-0.7060221969966349
美,15,0,15,-0.7060221969966349
肝,15,0,15,-0.7060221969966349
氣泡,15,0,15,-0.7060221969966349
肉量,15,0,15,-0.7060221969966349
公仔,15,0,15,-0.7060221969966349
候位,15,0,15,-0.7060221969966349
食用,15,0,15,-0.7060221969966349
太油,15,0,15,-0.7060221969966349
馬鈴薯,15,0,15,-0.7060221969966349
奶蓋,15,0,15,-0.7060221969966349
手機,15,0,15,-0.7060221969966349
原因,15,0,15,-0.7060221969966349
炭火,15,0,15,-0.7060221969966349
主,15,0,15,-0.7060221969966349
越式,15,0,15,-0.7060221969966349
狗狗,15,0,15,-0.7060221969966349
羊,15,0,15,-0.7060221969966349
狗,15,0,15,-0.7060221969966349
方,15,0,15,-0.7060221969966349
包廂,31,1,32,-0.7063343531068442
冰箱,31,1,32,-0.7063343531068442
台北,31,1,32,-0.7063343531068442
主菜,47,2,49,-0.7066467967658676
料,46,2,48,-0.7277192255062808
結帳,46,2,48,-0.7277192255062808
高麗菜,30,1,31,-0.7381020651778778
眼,30,1,31,-0.7381020651778778
白飯,106,6,112,-0.7536647019767937
美國,14,0,14,-0.7705797261080516
機會會,14,0,14,-0.7705797261080516
優質,14,0,14,-0.7705797261080516
新橋,14,0,14,-0.7705797261080516
記憶,14,0,14,-0.7705797261080516
功夫,14,0,14,-0.7705797261080516
板腱,14,0,14,-0.7705797261080516
優點,14,0,14,-0.7705797261080516
小巧,14,0,14,-0.7705797261080516
茶戚,14,0,14,-0.7705797261080516
限量,14,0,14,-0.7705797261080516
小巷,14,0,14,-0.7705797261080516
東坡,14,0,14,-0.7705797261080516
黃瓜,14,0,14,-0.7705797261080516
豆漿,14,0,14,-0.7705797261080516
芭樂,14,0,14,-0.7705797261080516
魚肉,14,0,14,-0.7705797261080516
運氣,14,0,14,-0.7705797261080516
規中矩,14,0,14,-0.7705797261080516
海,14,0,14,-0.7705797261080516
貢丸,14,0,14,-0.7705797261080516
戚,14,0,14,-0.7705797261080516
太小,14,0,14,-0.7705797261080516
層次,14,0,14,-0.7705797261080516
青木瓜,14,0,14,-0.7705797261080516
數量,14,0,14,-0.7705797261080516
公園,14,0,14,-0.7705797261080516
口水,14,0,14,-0.7705797261080516
台菜,14,0,14,-0.7705797261080516
水餃,14,0,14,-0.7705797261080516
尼,14,0,14,-0.7705797261080516
方面,14,0,14,-0.7705797261080516
母親,14,0,14,-0.7705797261080516
酸味,14,0,14,-0.7705797261080516
麻油,14,0,14,-0.7705797261080516
丁,14,0,14,-0.7705797261080516
胃菜,14,0,14,-0.7705797261080516
太重,14,0,14,-0.7705797261080516
焦香,14,0,14,-0.7705797261080516
麻,29,1,30,-0.7709109013958058
壽星,44,2,46,-0.7712423754459863
消,44,2,46,-0.7712423754459863
中矩,43,2,45,-0.7937342497554587
體驗,158,10,168,-0.8110606121892268
雙人,42,2,44,-0.816742786075876
內用,154,10,164,-0.836615934434672
櫻,13,0,13,-0.839591605207552
狀態,13,0,13,-0.839591605207552
石鍋,13,0,13,-0.839591605207552
弄堂,13,0,13,-0.839591605207552
不會太,13,0,13,-0.839591605207552
烤魚,13,0,13,-0.839591605207552
彈性,13,0,13,-0.839591605207552
結論,13,0,13,-0.839591605207552
杏仁,13,0,13,-0.839591605207552
普普,13,0,13,-0.839591605207552
牛小排,13,0,13,-0.839591605207552
大方,13,0,13,-0.839591605207552
酒香,13,0,13,-0.839591605207552
男生,13,0,13,-0.839591605207552
海帶,13,0,13,-0.839591605207552
