token,count_pos,count_neg,count_total,log_odds_food,sem_sim_food,logodds_z,semsim_z,final_score
口感,420,0,420,2.571750001909554,0.6287761926651001,4.345844192808767,-1.9927311046256868,1.8104140738349854
部分,173,0,173,1.6834521873094959,0.7909132242202759,3.2832446203187042,-0.4721637163654324,1.7810812856450495
普通,137,0,137,1.4509644538023583,0.7525741457939148,3.005138154026097,-0.8317185434885516,1.4703954750202375
海鮮,194,0,194,1.7977969005117593,0.6632771492004395,3.4200260480878684,-1.6691712807641723,1.384347116547052
特色,91,0,91,1.0446233220236207,0.802561342716217,2.5190647833428472,-0.36292433440788224,1.3662691362425554
烤肉,63,0,63,0.6811849720215699,0.8620752692222595,2.084312576378848,0.19521426554304885,1.3286732520445284
牛排,134,0,134,1.428928391706675,0.7041487693786621,2.9787781768006885,-1.2858655537981771,1.272920684561142
主餐,57,0,57,0.5826307526440058,0.8646363615989685,1.9664200524342275,0.21923292129980224,1.2675451999804574
湯頭,67,0,67,0.7418856987867661,0.8335951566696167,2.1569239970650216,-0.07188036389571098,1.2654022526807285
口味,548,2,550,1.739825205559809,0.6376601457595825,3.350679149716626,-1.9094148552486487,1.246641547730516
香氣,169,0,169,1.6601190663992673,0.651390552520752,3.255333075455532,-1.7806471792382643,1.2409409735780133
豬,250,0,250,2.05131894268297,0.5718640685081482,3.7232941741602326,-2.526469259072102,1.2233888008672984
食物,124,1,125,0.6580133428379993,0.8358814716339111,2.056594211141795,-0.05043864918900957,1.2137810670094733
布丁,107,0,107,1.2052705889502748,0.7299180030822754,2.7112342498801665,-1.044194320432609,1.2090628217550563
燒肉,69,0,69,0.7709112903064952,0.812515139579773,2.1916449888689042,-0.269574784617095,1.2071570794745046
奶油,267,0,267,2.1171776252886003,0.5488174557685852,3.802075644553706,-2.742606975456266,1.184202596549717
水果,127,0,127,1.3755505273443518,0.6829909682273865,2.914926510254178,-1.484289455662797,1.155240123887388
調味,69,0,69,0.7709112903064952,0.7763733863830566,2.1916449888689042,-0.6085224681805252,1.0715780060491324
菜單,72,0,72,0.8129325740906737,0.7678074836730957,2.241911687098546,-0.688855950216332,1.0696046321725947
熟度,44,0,44,0.32860295900103864,0.856115996837616,1.6625469363586889,0.1393265071516831,1.0532587646758866
油,88,0,88,1.0114140093759225,0.7241923809051514,2.479339140836318,-1.097890840447358,1.0484471483228477
蝦子,57,0,57,0.5826307526440058,0.8047409653663635,1.9664200524342275,-0.3424832106945849,1.0428587471827027
味道,603,5,608,1.1413580641316967,0.6896372437477112,2.634780812268639,-1.4219587856569196,1.0120849730984154
牛肉,462,2,464,1.5678037477300792,0.6024566888809204,3.1449036490403284,-2.2395629279639406,0.9911170182386206
飲品,76,0,76,0.8663546727788765,0.7356324195861816,2.305816267628404,-0.9906028904216366,0.9872486044083877
醬汁,65,0,65,0.7119946824387089,0.7643414735794067,2.1211677668112756,-0.7213611827674213,0.9841561869797968
用料,30,0,30,-0.04433855177869983,0.9068771600723267,1.2164268588295437,0.6153791933548958,0.9760077926396845
皮,96,0,96,1.0976409062765997,0.6877142786979675,2.582485475632894,-1.4399929010922292,0.9734941249428447
青菜,47,0,47,0.3931985376811573,0.8203758597373962,1.7398174566302558,-0.195854705957246,0.965548591595255
蛋塔,25,0,25,-0.22032428160216444,0.9374884366989136,1.0059092168842465,0.9024604881395576,0.9645297253863709
上菜,105,0,105,1.1865403737567712,0.6671262383460999,2.6888287926898604,-1.6330734234563185,0.9600679062313887
品質,148,1,149,0.8341031588599517,0.7342504858970642,2.2672363630748436,-1.0035630592384381,0.9589165941495308
日本,33,0,33,0.04809181070627844,0.8842312097549438,1.3269939029529831,0.40299900359512447,0.9573959432098397
主廚,39,0,39,0.21072483467439884,0.8527360558509827,1.521538771690612,0.10762845526789848,0.9559746451215265
酒,35,0,35,0.10528825458996671,0.8719072341918945,1.3954134305256396,0.28742124103745725,0.9522165547303667
蛤蜊,73,0,73,0.8265572550990044,0.7328764796257019,2.2582098024116903,-1.0164488824674616,0.9483463284600295
程度,29,0,29,-0.07714738799662779,0.9056029915809631,1.1771802742201207,0.6034296773403706,0.9476800354682207
餅,126,0,126,1.3676883013572043,0.6280226707458496,2.905521558631591,-1.9997978483902763,0.9433937958228439
辣椒,85,0,85,0.9770678338273244,0.7027068138122559,2.43825356024076,-1.2993886249224411,0.9431966861754795
泡菜,55,0,55,0.5475013868732113,0.7844918370246887,1.9243976040657151,-0.5323853194338162,0.9416844346659026
前菜,38,0,38,0.18538801004103167,0.8524845838546753,1.4912303564483733,0.1052700790661264,0.9368462454954746
內餡,59,0,59,0.6165703517267609,0.7696096301078796,2.0070192781477987,-0.6719549062579108,0.9354296043855149
甜度,49,0,49,0.4340585723718364,0.8044002652168274,1.7886950455206359,-0.34567839400089667,0.9349456697120229
部份,32,0,32,0.018219833077070646,0.8803889751434326,1.2912604471946572,0.3669654300661765,0.9215424403432648
草莓,130,0,130,1.3987747343814227,0.6159287691116333,2.9427077701688193,-2.113217911934234,0.920337497327598
道菜,27,0,27,-0.14617828518896125,0.9106156826019287,1.0946041374340536,0.6504401253595291,0.9169385326042438
肉品,121,1,122,0.6336635090444025,0.7598985433578491,2.0274664540382505,-0.7630282512860491,0.9112685719085305
沙拉,88,0,88,1.0114140093759225,0.6874924898147583,2.479339140836318,-1.4420729005818698,0.910774324269043
胃,37,0,37,0.15939350735032054,0.8423768877983093,1.460135213589469,0.010477218691557367,0.8802720156303043
氛圍,92,0,92,1.0554532739627964,0.6706609725952148,2.532019787972502,-1.599923676148025,0.8792424023242911
甜品,30,0,30,-0.04433855177869983,0.8803359866142273,1.2164268588295437,0.36646848850576513,0.8764435107000322
鴨肉,53,0,53,0.5110956981902532,0.7735306024551392,1.8808483927596684,-0.6351829077556183,0.8744358725535537
腥味,42,0,42,0.2831025483711489,0.8163420557975769,1.6081184371675574,-0.23368487135926708,0.8713971137568276
辣度,21,0,21,-0.3874544104470372,0.9430553317070007,0.8059848215498631,0.9546684194305997,0.8654582607021577
肉質,154,1,155,0.8736963143539027,0.7011821269989014,2.3145984857885495,-1.3136875733086297,0.8632840621496777
香味,60,0,60,0.633118677924374,0.7471576929092407,2.0268147161799486,-0.8825155855799557,0.8630825954759868
肥肉,22,0,22,-0.3429836373728996,0.9298412203788757,0.8591816477495953,0.8307427094452804,0.8478060724278693
傳統,29,0,29,-0.07714738799662779,0.8756053447723389,1.1771802742201207,0.32210317824123696,0.8351494358285673
鹽,93,0,93,1.0661675992768744,0.6555306911468506,2.544836477725797,-1.7418197767791297,0.830173975923826
友人,22,0,22,-0.3429836373728996,0.9250824451446533,0.8591816477495953,0.7861135561925474,0.8299544111267761
冰,58,1,59,-0.09401930387328594,0.8764851689338684,1.1569977517564163,0.3303544205058394,0.8263404192561855
造型,23,0,23,-0.30040501208939396,0.9157658219337463,0.9101150490029103,0.6987396028930954,0.8255648705589844
河粉,39,0,39,0.21072483467439884,0.8121005892753601,1.521538771690612,-0.2734625557674446,0.8035382407073892
日式,49,0,49,0.4340585723718364,0.7691434621810913,1.7886950455206359,-0.6763267622128906,0.8026863224272254
入口,106,0,106,1.1959491550160042,0.622322142124176,2.700083764591615,-2.0532590338752916,0.7987466452048523
生菜,51,0,51,0.4733173271426523,0.7602453231811523,1.8356571514161044,-0.7597760510627948,0.7974838704245446
司康,48,0,48,0.41383684478822325,0.7709677219390869,1.7645054114450052,-0.6592183331938253,0.7950159135894729
肉店,32,0,32,0.018219833077070646,0.8465726375579834,1.2912604471946572,0.04982615824390193,0.794686731614355
泰式,40,0,40,0.23543646427548648,0.802646279335022,1.5510993161589905,-0.36212777453883144,0.7858084798798617
地方,108,1,109,0.5207427722905562,0.7474105358123779,1.8923884153132273,-0.8801443526224024,0.7833753081389754
烤鴨,46,0,46,0.37212610894074416,0.7751845121383667,1.7146101968544656,-0.6196720703897088,0.7808972899567957
港式,18,0,18,-0.5341149139805248,0.9469141364097595,0.6305466005000608,0.9908573920076853,0.7746709171031106
蒸蛋,29,0,29,-0.07714738799662779,0.8590774536132812,1.1771802742201207,0.16709989458592,0.7731481223664405
檸檬,64,0,64,0.6967081842517366,0.7104092836380005,2.102881752626202,-1.2271526630712446,0.7708679863472232
芋頭,56,0,56,0.5652199867714378,0.7352836728096008,1.94559294685225,-0.99387353729449,0.769806353193554
厚度,25,0,25,-0.22032428160216444,0.8838393688201904,1.0059092168842465,0.3993242073992369,0.7632752130902427
血,60,0,60,0.633118677924374,0.7188289165496826,2.0268147161799486,-1.1481909409783506,0.7568124533166287
生日蛋糕,22,0,22,-0.3429836373728996,0.9054607152938843,0.8591816477495953,0.6020953696860378,0.7563471365241723
味蕾,22,0,22,-0.3429836373728996,0.9050471782684326,0.8591816477495953,0.5982171013551787,0.7547958291918286
小店,35,0,35,0.10528825458996671,0.8186801075935364,1.3954134305256396,-0.21175795386917193,0.752544876767715
午餐,35,0,35,0.10528825458996671,0.8181888461112976,1.3954134305256396,-0.21636514435388524,0.7507020005738296
上海,23,0,23,-0.30040501208939396,0.894169270992279,0.9101150490029103,0.4962009801891191,0.7445494214773938
滋味,39,0,39,0.21072483467439884,0.7955362200737,1.521538771690612,-0.42880794092441704,0.7414000866446002
金沙,55,0,55,0.5475013868732113,0.7310065627098083,1.9243976040657151,-1.0339854973529778,0.741044363498238
湯品,35,0,35,0.10528825458996671,0.8152960538864136,1.3954134305256396,-0.24349457602030006,0.7398502279072637
原味,45,0,45,0.35060088453893634,0.7677471041679382,1.6888612938726297,-0.6894222064600852,0.7375478937395437
柴,25,0,25,-0.22032428160216444,0.8769182562828064,1.0059092168842465,0.33441603735392567,0.7373119450721182
羊肉,37,0,37,0.15939350735032054,0.8018637895584106,1.460135213589469,-0.3694661871429708,0.728294653296493
吐司,33,0,33,0.04809181070627844,0.8223970532417297,1.3269939029529831,-0.17689937602074657,0.7254365913634913
香菜,26,0,26,-0.18256494167030723,0.8651677966117859,1.0510776928273773,0.224216870627842,0.7203333639475631
啤酒,36,1,37,-0.5610572690568576,0.9374443888664246,0.598317617702353,0.9020473949864147,0.7198095286159778
位子,56,0,56,0.5652199867714378,0.7215205430984497,1.94559294685225,-1.1229480984754772,0.7181765287211591
沙茶,81,1,82,0.23560014041736732,0.7839491963386536,1.5512951088261915,-0.5374743587656324,0.7157873217894618
機會,59,0,59,0.6165703517267609,0.7057910561561584,2.0070192781477987,-1.2704637193617168,0.6960260791439925
